AGE,GENDER,MARRIED,EVENT_ATTENDED,DONOR
65,Male,1,Yes,1
70,Female,0,No,0
70,Female,0,No,0
65,Female,0,No,0
71,Male,0,No,0
24,Female,0,No,0
25,Male,0,No,0
63,Male,0,No,0
67,Female,0,No,0
65,Male,1,No,0
66,Female,1,Yes,0
69,Male,1,No,0
62,Male,0,No,0
61,Female,1,No,0
65,Male,0,Yes,0
66,Female,1,No,0
62,Female,0,No,0
94,Female,0,Yes,1
63,Female,0,No,0
65,Female,1,No,0
77,Male,1,No,0
74,Female,0,No,0
62,Female,1,No,0
62,Male,0,No,0
64,Female,1,No,0
74,Female,0,No,0
59,Female,0,No,0
107,Female,0,No,1
61,Female,0,No,0
70,Female,0,No,0
64,Male,0,No,0
60,Female,0,No,0
65,Female,0,No,0
65,Female,0,No,0
66,Female,0,No,0
60,Female,0,No,0
58,Female,1,Yes,0
59,Female,0,No,0
60,Female,0,No,0
58,Female,1,No,0
68,Male,1,No,0
60,Female,1,No,0
38,Female,0,No,0
24,Female,0,No,0
97,Female,0,Yes,1
0,Male,0,No,1
60,Female,1,No,0
60,Female,1,No,0
0,Female,0,No,0
65,Male,0,No,0
60,Female,0,No,0
61,Female,0,No,0
60,Female,1,No,0
73,Female,0,No,0
62,Male,0,No,0
63,Female,0,No,0
58,Female,0,No,0
62,Male,1,No,0
59,Female,0,No,0
66,Female,0,No,0
61,Female,0,No,0
68,Female,0,No,1
62,Female,0,No,0
0,Female,0,No,0
88,Female,0,No,0
23,Female,0,No,0
24,Female,0,No,0
93,Female,0,No,0
60,Female,1,Yes,0
60,Female,0,No,0
67,Male,1,Yes,0
58,Female,0,No,0
64,Female,1,Yes,0
62,Female,0,Yes,0
63,Female,1,No,0
62,Female,1,No,0
61,Female,0,No,0
66,Female,1,No,0
66,Male,0,No,0
60,Female,0,No,0
59,Female,0,No,0
64,Female,0,No,0
57,Female,0,No,0
59,Female,0,No,0
62,Female,1,No,1
60,Female,0,No,0
62,Male,0,No,0
59,Female,0,No,0
58,Female,0,No,0
40,Male,0,No,0
23,Female,0,No,0
24,Female,0,No,0
32,Female,0,No,0
23,Female,0,No,0
27,Female,0,No,0
24,Female,0,No,0
33,Male,0,No,0
24,Female,0,No,0
23,Female,0,No,0
58,Female,1,No,0
86,Male,0,No,1
98,Female,0,No,1
0,Female,0,No,0
82,Male,1,No,0
56,Female,1,No,0
83,Female,0,No,0
60,Female,1,Yes,0
57,Female,0,No,0
0,Female,0,No,0
23,Female,0,No,0
23,Female,0,No,0
34,Female,0,No,0
24,Female,0,No,0
23,Female,0,No,0
25,Female,0,No,0
55,Female,0,No,0
24,Female,0,No,0
25,Female,0,No,0
99,Male,0,No,1
57,Female,0,No,0
61,Male,0,No,0
56,Female,0,No,0
60,Female,0,No,0
77,Male,0,No,0
59,Female,0,No,0
61,Female,0,No,0
59,Female,0,No,0
66,Male,0,No,0
58,Female,1,No,0
59,Female,1,No,0
69,Female,1,No,0
0,Male,0,No,1
60,Male,0,No,0
58,Female,1,No,0
72,Male,0,No,0
62,Male,1,No,0
63,Female,0,No,1
61,Male,0,No,0
64,Female,1,No,0
76,Female,1,No,0
63,Female,0,No,0
59,Female,1,No,0
59,Female,0,No,0
65,Male,1,No,0
68,Male,0,No,0
58,Female,1,No,0
59,Female,0,No,0
57,Female,0,No,0
61,Female,1,No,0
63,Female,0,No,0
69,Female,0,No,0
62,Female,0,No,0
57,Female,1,No,0
60,Female,0,No,0
60,Female,0,No,0
64,Female,0,No,0
58,Female,1,No,0
0,Male,0,No,0
62,Female,0,No,0
59,Female,0,No,0
64,Female,0,No,0
58,Female,0,No,0
82,Female,1,Yes,0
0,Male,0,No,0
60,Female,0,No,0
58,Female,1,No,1
58,Female,1,No,0
59,Female,1,No,0
61,Female,0,No,0
61,Female,1,No,0
63,Female,0,No,0
59,Female,1,No,0
59,Female,0,No,0
58,Female,0,No,0
56,Female,0,No,0
57,Female,1,No,0
55,Female,1,No,0
57,Female,0,No,0
57,Female,1,No,0
62,Male,1,No,0
56,Female,0,No,0
71,Male,0,Yes,0
64,Female,0,No,0
63,Female,0,No,0
55,Female,1,Yes,0
61,Female,0,No,0
60,Female,0,No,0
67,Male,0,No,0
72,Female,0,No,0
59,Female,0,No,0
67,Female,0,No,0
55,Female,1,No,0
61,Female,0,No,0
53,Female,1,No,0
75,Female,0,No,0
0,Female,1,No,0
96,Female,1,No,0
58,Female,0,No,0
60,Male,1,No,1
54,Female,0,No,0
78,Female,0,No,0
68,Female,0,No,0
60,Female,0,Yes,0
60,Male,0,No,0
66,Female,0,No,0
61,Male,0,No,0
83,Female,0,Yes,0
58,Female,0,No,0
71,Female,0,No,0
64,Male,0,No,0
56,Female,0,No,0
76,Male,0,No,0
64,Female,1,No,0
57,Female,1,No,0
57,Female,0,No,0
65,Male,0,No,0
60,Female,0,No,0
57,Female,0,No,0
63,Female,0,No,0
65,Female,0,No,0
57,Female,0,No,0
56,Female,0,No,0
53,Female,0,No,1
0,Male,1,No,1
53,Female,0,No,1
73,Female,0,No,1
53,Female,0,No,0
67,Female,0,No,0
66,Female,0,Yes,0
85,Female,0,No,0
53,Female,1,No,0
91,Female,0,No,1
0,Male,1,No,0
57,Female,0,No,0
53,Female,1,No,0
61,Female,1,No,0
53,Female,1,No,0
58,Male,0,No,0
0,Male,0,No,1
65,Female,0,No,0
97,Female,1,No,1
60,Female,0,No,0
60,Female,0,No,0
52,Female,1,No,0
51,Female,1,No,0
74,Male,0,No,0
54,Male,0,No,0
51,Female,0,No,0
55,Male,1,No,0
60,Female,1,No,0
79,Female,0,No,1
81,Male,0,No,0
57,Female,0,Yes,0
58,Female,0,No,0
52,Female,0,No,0
65,Female,0,No,0
59,Female,1,No,0
57,Female,1,No,0
57,Female,0,No,0
67,Female,0,No,1
54,Female,0,No,0
90,Male,1,No,0
0,Male,0,No,0
69,Female,0,No,0
88,Male,0,No,0
69,Female,0,No,0
