AGE,GENDER,MARRIED,EVENT_ATTENDED,DONOR
54,Female,1,Yes,1
61,Female,0,No,0
47,Male,1,Yes,0
61,Male,0,Yes,0
49,Female,1,Yes,1
46,Male,1,Yes,0
54,Male,1,Yes,0
60,Female,0,Yes,1
53,Female,0,Yes,1
56,Female,1,No,0
68,Male,0,No,0
60,Male,0,No,0
52,Female,1,No,0
53,Female,0,No,0
63,Female,0,No,0
62,Male,0,Yes,0
53,Female,1,No,1
74,Female,0,Yes,0
60,Female,0,Yes,0
66,Male,1,Yes,1
63,Female,1,Yes,0
44,Female,1,No,0
69,Female,1,Yes,1
58,Male,0,No,0
49,Female,0,No,0
46,Female,0,No,0
55,Female,0,No,0
69,Female,0,No,0
46,Female,0,No,0
84,Male,1,Yes,1
45,Female,0,No,0
72,Male,1,No,0
59,Male,0,No,1
70,Female,1,No,1
48,Female,1,Yes,0
46,Female,0,No,0
47,Female,0,No,0
81,Female,1,No,0
68,Female,0,No,0
61,Female,0,No,0
54,Female,1,No,0
56,Female,0,No,0
50,Female,0,No,0
60,Female,1,No,0
61,Male,0,No,0
63,Female,0,No,0
49,Female,1,No,0
53,Female,0,No,0
53,Female,0,No,0
84,Female,1,No,0
70,Female,1,No,0
43,Female,0,No,0
69,Female,0,Yes,1
54,Male,0,No,1
79,Female,1,No,1
80,Female,0,No,1
71,Female,1,No,1
73,Female,0,No,1
71,Female,1,No,1
99,Female,1,No,1
45,Female,0,No,1
72,Female,1,No,1
0,Female,1,No,0
70,Male,0,No,1
61,Female,1,No,1
61,Male,0,No,0
67,Female,0,No,1
52,Female,0,No,0
63,Female,1,No,1
59,Female,1,No,1
68,Female,1,No,0
76,Female,1,No,0
91,Female,1,Yes,1
66,Male,1,No,1
64,Female,0,No,1
67,Female,0,No,0
69,Female,0,No,0
48,Female,0,No,0
52,Female,0,No,0
48,Male,1,No,0
51,Female,0,No,0
75,Female,0,No,0
48,Female,0,No,0
51,Female,0,No,0
50,Female,0,No,0
48,Female,0,Yes,0
61,Male,0,No,0
58,Female,0,No,0
53,Female,0,No,0
50,Male,0,No,0
46,Female,1,No,0
75,Male,0,No,0
60,Male,1,Yes,0
42,Female,1,Yes,0
65,Female,0,No,0
43,Female,0,No,0
44,Female,0,No,0
55,Female,1,No,0
51,Female,0,No,0
47,Female,1,No,0
46,Female,0,No,0
70,Female,1,No,1
64,Female,1,No,1
66,Female,0,No,1
58,Female,1,No,1
77,Female,1,Yes,0
66,Female,0,Yes,1
79,Female,1,No,1
60,Female,0,No,0
64,Female,1,Yes,1
60,Male,1,No,1
98,Female,0,No,1
89,Male,1,No,1
73,Male,1,No,1
59,Female,1,No,1
75,Male,0,No,1
73,Female,1,No,1
60,Female,1,No,1
71,Male,1,No,1
87,Female,1,No,1
62,Female,1,No,0
77,Female,1,No,0
71,Female,1,Yes,1
74,Female,1,No,1
66,Female,1,No,1
92,Female,0,No,1
70,Female,1,No,0
57,Male,1,No,1
65,Male,0,No,1
67,Female,1,No,1
46,Female,1,Yes,1
63,Female,0,No,0
59,Female,1,No,1
48,Female,0,No,0
71,Female,1,Yes,1
53,Female,1,No,1
58,Female,1,Yes,1
70,Male,0,No,1
84,Female,1,No,1
58,Female,1,Yes,1
92,Female,1,Yes,1
80,Female,1,Yes,1
63,Male,1,No,1
62,Female,0,Yes,1
75,Female,1,No,1
58,Female,1,No,1
59,Female,0,No,1
71,Female,1,Yes,1
42,Female,1,No,1
42,Female,1,No,1
53,Female,1,Yes,1
71,Male,0,Yes,1
73,Female,0,No,1
55,Female,1,No,1
64,Male,1,No,1
49,Female,1,Yes,1
56,Female,0,No,1
45,Female,1,No,1
59,Female,1,No,1
80,Female,1,No,1
55,Female,0,No,1
50,Female,1,No,1
60,Female,1,Yes,1
63,Female,0,No,1
45,Female,0,No,1
81,Female,1,Yes,1
67,Female,1,No,1
59,Female,0,No,1
51,Female,0,No,1
65,Female,1,Yes,1
55,Female,1,No,1
60,Female,1,No,1
64,Male,1,Yes,1
65,Female,1,Yes,1
74,Female,1,Yes,1
62,Female,1,No,1
69,Female,0,No,1
56,Female,1,No,1
57,Female,1,No,1
58,Female,1,No,1
73,Female,1,No,1
63,Female,1,No,1
64,Female,0,Yes,1
66,Male,0,Yes,1
51,Female,0,No,1
49,Female,0,No,1
42,Female,1,No,1
46,Female,1,No,1
67,Male,0,No,1
58,Male,1,Yes,1
62,Male,1,Yes,1
62,Female,1,No,1
50,Female,1,No,1
50,Male,1,Yes,1
54,Female,1,No,1
60,Female,1,No,1
72,Female,0,Yes,1
65,Female,1,Yes,1
52,Female,1,Yes,1
49,Female,1,No,1
74,Female,1,No,1
62,Male,1,No,1
66,Female,1,No,1
69,Female,1,No,1
53,Female,1,Yes,1
66,Female,1,No,1
68,Male,1,No,1
65,Female,1,No,1
59,Female,1,No,1
54,Female,1,No,1
52,Female,1,No,1
56,Female,1,Yes,1
52,Female,0,No,1
58,Female,1,Yes,1
76,Female,1,No,1
69,Male,1,No,1
68,Male,0,No,1
59,Female,1,No,1
61,Female,1,No,1
68,Male,1,No,1
60,Female,1,No,1
70,Female,1,No,1
42,Male,1,No,1
68,Male,1,No,1
59,Female,1,No,1
49,Female,1,No,1
52,Female,1,No,1
63,Female,1,Yes,1
69,Female,1,No,1
46,Female,1,No,1
80,Female,1,No,1
59,Female,1,No,1
48,Female,1,Yes,1
66,Male,1,Yes,1
52,Female,1,No,1
47,Female,0,Yes,1
71,Male,1,No,1
60,Male,1,No,1
60,Female,0,Yes,1
62,Female,1,No,1
66,Female,1,No,1
58,Female,1,Yes,1
56,Female,0,No,1
71,Male,1,No,1
52,Male,1,No,1
48,Female,1,Yes,1
56,Female,1,No,1
84,Female,1,Yes,1
50,Female,1,Yes,1
75,Female,0,No,1
73,Female,0,No,1
75,Female,0,Yes,1
59,Female,1,No,1
63,Female,0,No,1
62,Female,1,No,1
61,Male,1,No,1
70,Male,0,No,1
70,Female,1,No,1
68,Female,1,No,1
74,Female,1,Yes,1
69,Female,1,Yes,1
58,Female,1,No,1
39,Female,1,No,1
67,Male,0,No,1
65,Male,1,No,1
66,Female,1,No,1
71,Male,1,No,1
63,Female,0,No,1
72,Female,0,No,1
75,Female,1,No,1
65,Male,0,Yes,1
69,Male,0,No,1
62,Female,1,No,1
65,Female,0,No,1
67,Female,0,Yes,1
49,Female,0,No,1
50,Female,0,Yes,1
53,Female,1,No,1
65,Female,1,No,1
67,Female,1,No,1
66,Male,1,No,1
61,Male,0,Yes,1
63,Female,0,No,1
64,Female,1,No,1
55,Female,0,No,1
52,Female,1,No,1
64,Female,1,Yes,1
62,Female,0,No,1
79,Female,1,Yes,1
71,Female,1,No,1
73,Female,0,No,1
37,Male,1,No,1
56,Female,1,No,1
85,Female,0,Yes,1
54,Female,0,No,1
84,Female,1,No,1
45,Female,1,No,1
52,Male,1,No,1
62,Female,1,Yes,1
66,Female,0,No,1
47,Female,1,No,1
47,Female,1,No,1
54,Female,1,No,1
70,Female,1,No,1
0,Female,1,Yes,1
76,Female,1,No,1
70,Female,1,No,1
64,Female,0,No,1
64,Male,0,No,1
63,Male,0,No,1
85,Female,1,Yes,1
52,Female,0,No,1
60,Female,1,No,1
49,Male,1,No,1
51,Female,0,Yes,1
62,Female,0,No,1
70,Female,1,No,1
67,Male,0,Yes,1
60,Female,1,No,1
64,Female,1,Yes,1
62,Female,1,No,1
55,Male,1,No,1
62,Male,1,No,1
53,Female,0,Yes,1
59,Female,0,No,1
86,Female,0,Yes,1
67,Female,0,Yes,1
61,Female,0,No,1
44,Female,0,No,1
61,Female,1,No,1
61,Female,1,No,1
86,Female,0,No,1
59,Female,1,No,1
58,Female,1,No,1
59,Male,1,No,1
62,Female,1,No,1
67,Female,0,No,1
67,Female,1,No,1
72,Male,1,No,1
59,Female,1,No,1
51,Female,1,No,1
69,Female,0,No,1
67,Female,1,No,1
59,Female,1,No,1
67,Female,1,Yes,1
69,Male,1,No,1
66,Female,1,No,1
67,Female,1,No,1
62,Male,1,No,1
68,Female,1,Yes,1
65,Female,1,No,1
63,Female,0,Yes,1
63,Female,1,Yes,1
57,Female,1,No,1
38,Female,0,No,1
0,Female,0,No,1
36,Female,1,No,1
63,Female,1,Yes,1
69,Female,0,Yes,1
72,Female,0,Yes,1
69,Female,1,Yes,1
60,Female,0,Yes,1
59,Female,1,No,1
65,Female,1,No,1
63,Male,1,No,1
58,Female,1,No,1
60,Female,1,Yes,1
64,Female,1,No,1
65,Female,1,No,1
58,Female,1,Yes,1
50,Female,0,No,1
65,Male,1,No,1
66,Female,1,No,1
68,Female,1,No,1
51,Female,1,No,1
61,Female,0,No,1
51,Female,1,No,1
43,Female,1,No,1
60,Male,1,No,1
75,Female,0,Yes,1
71,Female,1,No,1
74,Female,0,Yes,1
73,Female,0,No,1
73,Female,0,No,1
66,Female,0,No,1
65,Female,1,No,1
52,Female,0,Yes,1
56,Male,1,No,1
0,Male,1,No,1
64,Female,0,Yes,1
56,Female,0,No,1
62,Female,0,No,1
75,Female,1,No,1
64,Female,1,Yes,1
48,Male,1,No,1
45,Female,1,No,1
72,Female,0,No,1
66,Male,1,No,1
78,Male,0,Yes,1
63,Female,1,Yes,1
54,Female,0,No,1
64,Male,0,No,1
55,Female,1,Yes,1
53,Female,1,No,1
56,Female,1,No,1
59,Female,1,No,1
79,Male,1,No,1
48,Female,1,Yes,1
83,Male,1,No,1
60,Female,1,No,1
74,Female,0,Yes,1
41,Male,1,No,1
71,Male,0,Yes,1
76,Male,1,No,1
49,Female,0,No,1
59,Male,1,Yes,1
54,Female,1,No,1
66,Female,0,No,1
62,Male,0,No,1
63,Female,0,No,1
75,Female,0,No,1
55,Female,1,No,1
70,Male,1,Yes,1
40,Female,1,No,1
75,Female,1,No,1
53,Female,1,No,1
76,Male,0,Yes,1
63,Female,1,No,1
77,Female,1,No,1
59,Female,0,Yes,1
61,Female,0,No,1
73,Female,1,No,1
72,Male,1,No,1
67,Male,1,No,1
65,Male,0,No,1
80,Male,1,No,1
66,Female,0,No,1
49,Female,1,No,1
45,Female,1,No,1
63,Female,0,No,1
71,Female,1,No,1
86,Female,1,No,1
74,Male,1,No,1
72,Female,1,No,1
77,Male,1,Yes,1
61,Female,1,No,1
68,Male,1,No,1
66,Female,1,No,1
84,Female,0,Yes,1
62,Female,1,No,1
61,Female,1,No,1
73,Female,1,No,1
63,Female,0,Yes,1
62,Female,1,No,1
64,Female,1,No,1
64,Male,1,No,1
62,Female,0,No,1
63,Female,0,No,1
74,Female,1,No,1
62,Male,1,No,1
69,Male,1,Yes,1
72,Female,0,No,1
61,Male,0,No,1
72,Female,0,No,1
60,Female,1,No,1
75,Female,1,No,1
70,Male,1,Yes,1
61,Male,1,No,1
73,Male,1,No,1
70,Female,0,No,1
85,Female,0,No,1
54,Female,0,No,1
76,Male,0,No,1
69,Female,1,No,1
36,Female,0,Yes,1
38,Female,0,No,1
54,Male,1,Yes,1
57,Female,1,No,1
49,Female,1,No,1
60,Female,1,No,1
44,Female,1,No,1
44,Female,1,Yes,1
48,Female,1,No,1
48,Male,0,No,1
44,Male,0,No,1
59,Female,1,No,1
53,Female,1,No,1
45,Female,1,Yes,1
51,Female,0,No,1
52,Female,1,No,1
55,Female,1,Yes,1
46,Male,1,No,1
41,Female,1,Yes,1
67,Female,0,No,1
76,Male,0,No,1
62,Male,1,No,1
55,Female,0,Yes,1
53,Female,0,No,1
47,Female,0,Yes,1
46,Female,0,Yes,1
62,Female,0,No,1
65,Female,0,No,1
77,Female,0,Yes,1
48,Female,1,No,1
44,Female,0,No,1
40,Female,1,No,1
42,Female,0,No,1
38,Male,1,No,1
40,Male,1,No,1
51,Female,0,No,1
68,Female,0,No,1
45,Female,1,No,1
50,Male,1,No,1
48,Female,0,No,1
61,Female,0,Yes,1
65,Female,1,No,1
43,Female,1,No,1
39,Female,0,No,1
35,Male,0,Yes,1
67,Female,0,No,1
64,Female,1,Yes,1
60,Female,1,No,1
70,Female,0,No,1
70,Male,1,No,1
94,Female,1,No,1
77,Male,0,No,1
95,Female,0,No,1
76,Male,0,No,1
65,Female,0,Yes,1
63,Female,1,No,1
94,Female,0,Yes,1
76,Male,0,No,1
67,Male,1,No,1
71,Female,1,No,1
86,Female,0,Yes,1
72,Female,1,No,1
74,Female,1,No,1
57,Female,1,Yes,1
62,Male,1,No,1
49,Male,0,No,1
68,Female,0,No,1
45,Female,0,No,1
46,Female,0,No,1
62,Female,1,Yes,1
70,Male,1,Yes,1
62,Female,1,No,1
41,Female,0,No,1
53,Female,0,No,1
52,Female,0,Yes,1
63,Female,1,No,1
34,Female,1,No,1
56,Female,0,No,1
60,Female,1,No,1
64,Male,1,Yes,1
93,Female,0,No,1
40,Female,1,No,1
67,Female,1,No,1
55,Female,0,No,1
32,Female,0,No,1
34,Female,1,No,1
37,Female,0,No,1
50,Female,1,No,1
37,Female,0,No,1
36,Female,1,No,1
36,Female,1,No,1
53,Female,0,No,1
38,Female,0,No,1
33,Female,1,No,1
48,Female,1,No,1
44,Female,1,No,1
42,Female,0,Yes,1
35,Female,0,No,1
33,Female,0,No,1
36,Female,0,Yes,1
35,Female,1,Yes,1
47,Female,0,No,1
40,Male,0,No,1
39,Female,0,Yes,1
34,Female,0,No,1
44,Female,0,No,1
45,Female,0,No,1
31,Female,1,No,1
64,Female,0,No,1
46,Female,0,No,1
31,Male,1,No,1
28,Female,1,No,1
49,Male,1,No,1
29,Female,1,Yes,1
45,Female,0,No,1
46,Female,0,No,1
45,Female,0,No,1
46,Female,0,No,1
38,Female,0,No,1
69,Female,1,No,1
58,Female,1,No,1
43,Female,0,Yes,1
63,Female,1,No,1
38,Female,0,No,1
40,Female,1,No,1
41,Female,0,Yes,1
39,Female,0,No,1
64,Female,0,Yes,1
87,Female,0,No,1
98,Female,0,No,1
0,Female,1,No,1
0,Female,1,No,1
66,Male,1,No,1
64,Male,0,No,1
96,Female,0,Yes,1
88,Male,0,No,1
96,Female,1,No,1
0,Male,1,No,1
91,Female,0,No,1
85,Female,0,No,1
0,Male,0,No,1
0,Female,1,No,1
47,Female,0,No,1
53,Male,1,No,1
39,Female,0,Yes,1
86,Male,0,No,1
96,Female,1,Yes,1
57,Female,1,No,1
87,Female,0,Yes,1
0,Male,1,No,1
39,Female,1,No,1
84,Female,0,No,1
44,Female,0,No,1
42,Male,0,No,1
70,Female,0,No,1
88,Female,1,No,1
0,Female,0,Yes,1
94,Female,1,No,1
91,Female,1,Yes,1
0,Female,0,No,1
46,Female,0,Yes,1
37,Female,0,Yes,1
65,Male,1,Yes,1
70,Female,1,No,1
79,Male,1,Yes,1
69,Female,1,Yes,1
69,Male,0,Yes,1
45,Female,0,Yes,1
74,Female,0,No,1
63,Female,0,No,1
63,Female,1,No,1
67,Female,0,No,1
87,Female,1,No,1
68,Male,0,Yes,1
37,Female,1,No,1
68,Male,1,No,1
56,Female,0,No,1
45,Female,1,Yes,1
105,Male,1,Yes,1
87,Male,1,No,1
96,Male,0,No,1
103,Male,1,No,1
87,Female,0,No,1
73,Female,0,No,1
91,Male,1,No,1
45,Female,1,Yes,1
49,Female,0,Yes,1
37,Female,0,Yes,1
35,Female,1,No,1
0,Female,1,No,1
80,Female,0,No,1
80,Female,0,Yes,1
96,Female,0,No,1
0,Female,0,No,1
54,Male,1,No,1
51,Female,1,No,1
37,Female,1,No,1
35,Female,0,Yes,1
105,Female,0,No,1
34,Female,1,No,1
99,Female,1,No,1
43,Female,0,No,1
91,Female,0,No,1
90,Female,0,No,1
65,Female,0,No,1
63,Female,1,No,1
67,Female,0,No,1
0,Male,1,No,1
80,Female,1,No,1
64,Female,0,No,1
55,Female,0,Yes,1
51,Male,0,Yes,1
62,Female,0,No,1
62,Male,0,No,1
62,Male,1,No,1
76,Female,0,No,1
61,Female,1,No,1
75,Male,0,No,1
35,Female,1,No,1
0,Female,1,No,1
103,Male,0,No,1
104,Female,0,No,1
108,Female,1,Yes,1
77,Female,0,Yes,1
0,Male,1,No,1
82,Male,0,No,1
0,Female,0,No,1
0,Female,0,No,1
75,Female,1,No,1
0,Female,1,No,1
0,Female,1,No,1
74,Male,0,No,1
83,Female,0,No,1
103,Female,0,No,1
0,Male,0,No,1
0,Male,1,No,1
76,Male,1,No,1
0,Female,0,No,1
0,Female,0,Yes,1
78,Female,1,No,1
78,Male,0,No,1
71,Male,0,No,1
94,Female,1,No,1
92,Female,1,No,1
70,Female,1,No,1
68,Female,1,No,1
67,Female,1,No,1
70,Female,0,No,1
68,Female,0,Yes,1
68,Female,1,No,1
75,Female,1,Yes,1
0,Female,1,No,1
65,Female,1,No,1
65,Female,0,No,1
0,Female,1,No,1
62,Female,1,No,1
0,Female,1,No,1
63,Male,0,No,1
41,Female,1,No,1
61,Female,1,Yes,1
54,Male,1,No,1
66,Female,1,No,1
64,Female,1,Yes,1
68,Female,0,Yes,1
45,Female,0,Yes,1
46,Female,0,No,1
37,Female,1,No,1
38,Female,0,No,1
45,Male,0,No,1
53,Female,0,No,1
44,Female,1,No,1
60,Female,0,Yes,1
59,Male,0,No,1
62,Female,0,Yes,1
46,Female,0,No,1
39,Female,1,No,1
60,Female,1,No,1
45,Female,0,No,1
42,Female,0,No,1
50,Male,0,Yes,1
46,Female,0,No,1
33,Female,0,No,1
89,Female,0,No,1
30,Female,1,No,1
34,Female,0,Yes,1
32,Female,0,No,1
32,Female,1,No,1
61,Female,0,No,1
53,Female,0,No,1
33,Female,0,Yes,1
46,Female,1,No,1
35,Female,0,No,1
46,Female,0,No,1
37,Female,0,No,1
38,Female,1,No,1
32,Female,0,No,1
63,Female,0,Yes,1
47,Female,1,No,1
75,Male,1,Yes,1
